Date,Price
20101109,81.17
20101110,81.079
20101111,82.562
20101112,82.45
20101113,82.489
20101114,82.53
20101115,82.53
20101116,82.893
20101117,83.436
20101118,83.143
20101119,83.628
20101120,83.5
20101121,83.471
20101122,83.56
20101123,83.474
20101124,82.87
20101125,83.4
20101126,83.676
20101127,84.14
20101128,84.14
20101129,84.1
20101130,84.358
20101201,83.55
20101202,83.838602
20101203,83.549
20101204,82.749
20101205,82.56
20101206,82.55
20101207,82.72
20101208,83.08
20101209,84.12
20101210,83.837
20101211,83.921
20101212,83.95
20101213,83.95
20101214,83.641
20101215,83.53
20101216,84.034
20101217,84.309
20101218,84.15
20101219,83.93
20101220,83.97
20101221,83.75
20101222,83.76
20101223,83.54
20101224,82.97
20101225,82.9
20101226,82.9
20101227,82.89
20101228,82.918
20101229,82.209
20101230,81.86
20101231,81.72
20110101,81.11
20110102,81.13
20110103,81.16
20110104,81.576
20110105,81.957
20110106,83.241
20110107,83.19
20110108,83.059
20110109,83.2
20110110,83.24
20110111,82.781
20110112,83.374
20110113,83.331
20110114,82.779
20110115,83.008
20110116,83
20110117,82.95
20110118,82.676
20110119,82.637
20110120,82.049
20110121,83.02
20110122,82.641
20110123,82.57
20110124,82.59
20110125,82.407
20110126,82.43
20110127,82.31
20110128,83.03
20110129,82.006
20110130,82.13
20110131,82.17
20110201,81.98
20110202,81.494
20110203,81.788
20110204,81.52
20110205,82
20110206,82.2
20110207,82.2
20110208,82.426
20110209,81.93
20110210,82.512
20110211,83.1
20110212,83.561
20110213,83.44
20110214,83.43
20110215,83.37
20110216,83.785
20110217,83.76
20110218,83.314
20110219,83.226
20110220,83.1
20110221,83.2
20110222,83.186
20110223,82.924
20110224,82.43
20110225,81.65
20110226,81.776
20110227,81.776
20110228,81.71
20110301,81.96
20110302,81.894
20110303,81.61
20110304,82.37
20110305,82.421
20110306,82.28
20110307,82.37
20110308,82.081
20110309,82.713
20110310,82.768
20110311,83.019
20110314,81.87
20110315,81.667
20110316,80.669
20110317,80.208
20110318,78.922
20110319,81.036
20110320,81.036
20110321,81.036
20110322,81.01
20110323,80.982
20110324,80.864
20110325,80.925
20110326,80.925
20110327,80.925
20110328,80.925
20110329,81.72
20110330,82.428
20110331,82.797
20110401,82.83
20110402,84.21
20110403,84.1
20110404,84.1
20110405,83.969
20110406,84.71
20110407,85.31
20110408,84.93
20110409,84.88
20110410,84.72
20110411,84.72
20110412,84.53
20110413,83.666
20110414,83.791
20110415,83.377
20110416,83.076
20110417,83.08
20110418,83.093
20110419,82.433
20110420,82.462
20110421,82.385
20110422,81.83
20110423,81.94
20110424,81.85
20110425,81.85
20110426,81.894
20110427,81.634
20110428,82.213
20110429,81.56
20110430,81.224
20110501,81.11
20110502,81.19
20110503,81.23
20110504,80.97
20110505,80.55
20110506,80.147
20110507,80.336
20110508,80.6
20110509,80.63
20110510,80.417
20110511,80.799
20110512,80.845
20110513,80.9
20110514,80.72
20110515,80.88
20110516,80.79
20110517,80.77
20110518,81.51
20110519,81.5
20110520,81.75
20110521,81.556
20110522,81.71
20110523,81.71
20110524,81.8
20110525,81.9
20110526,81.978
20110527,81.31
20110528,80.9
20110529,80.83
20110530,80.83
20110531,80.929
20110601,81.392
20110602,80.891
20110603,80.86
20110604,80.31
20110605,80.2
20110606,80.3
20110607,80.171
20110608,80.16
20110609,79.824
20110610,80.388
20110611,80.281
20110612,80.32
20110613,80.33
20110614,80.27
20110615,80.494
20110616,80.95
20110617,80.74
20110618,80.06
20110619,80.03
20110620,80.05
